city,state,zipcode,address,scan_date
Irondale,AL,35210,"1600 Montclair Rd, Irondale, AL 35210",2022-11-09 18:03:43
Hoover,AL,35244,"2000 Riverchase Galleria, Hoover, AL 35244",2022-11-09 18:03:43
Dothan,AL,36303,"3421 Ross Clark Circle, Dothan, AL 36303",2022-11-09 18:03:43
Hoover,AL,35244,"2943 John Hawkins Pkwy, Hoover, AL 35244",2022-11-09 18:03:43
Dothan,AL,36303,"520 N Oates St, Dothan, AL 36303",2022-11-09 18:03:43
Helena,AL,35080,"778 2nd St,, Helena, AL 35080",2022-11-09 18:03:43
Alexandria,AL,36250,"18 Big Valley Road, Alexandria, AL 36250",2022-11-09 18:03:43
Birmingham,AL,35242,"3000 Meadow Lake Dr, Birmingham, AL 35242",2022-11-09 18:03:43
Birmingham,AL,35203,"1701 Morris Avenue, Birmingham, AL 35203",2022-11-09 18:03:43
Homewood,AL,35209,"406 W Valley Ave,, Homewood, AL 35209",2022-11-09 18:03:43
Birmingham,AL,35233,"2808 7th Avenue South, Unit 109, Birmingham, AL 35233",2022-11-09 18:03:43
Birmingham,AL,35205,"808 20th St S, Birmingham, AL 35205",2022-11-09 18:03:43
Birmingham,AL,35209,"2916 18th St S, Birmingham, AL 35209",2022-11-09 18:03:43
Hoover,AL,35244,"2760 John Hawkins Parkway #100, Hoover, AL 35244",2022-11-09 18:03:43
Birmingham,AL,35203,"1821 N 2nd Ave, Birmingham, AL 35203",2022-11-09 18:03:43
Birmingham,AL,35235,"1808 Gadsden Highway, Birmingham, AL 35235",2022-11-09 18:03:43
Homewood,AL,35209,"2701 18th Street South, Homewood, AL 35209",2022-11-09 18:03:43
Birmingham,AL,35215,"821 Windover Road, Birmingham, AL 35215",2022-11-09 18:03:43
Dothan,AL,36303,"1708 Westgate Pkwy, Dothan, AL 36303",2022-11-09 18:03:43
Hoover,AL,35244,"150 Main St, Hoover, AL 35244",2022-11-09 18:03:43
Birmingham,AL,35209,"1278 Oak Grove Road, Birmingham, AL 35209",2022-11-09 18:03:43
Birmingham,AL,35212,"5831 1st Avenue North, Birmingham, AL 35212",2022-11-09 18:03:43
Birmingham,AL,35243,"3419 Colonnade Pkwy #100, Birmingham, AL 35243",2022-11-09 18:03:43
Hueytown,AL,35023,"3102 Allison-Bonnett Memorial Dr, Hueytown, AL 35023",2022-11-09 18:03:43
Birmingham,AL,35216,"1615 Montgomery Hwy, 132, Birmingham, AL 35216",2022-11-09 18:03:43
Dothan,AL,36303,"144 N Foster Street, Dothan, AL 36303",2022-11-09 18:03:43
Dothan,AL,36301,"2777 W Main Street, Dothan, AL 36301",2022-11-09 18:03:43
Dothan,AL,36303,"3777 Montgomery Hwy, Dothan, AL 36303",2022-11-09 18:03:43
Birmingham,AL,35212,"4500 Richard Arrington Junior Boulevard North, Birmingham, AL 35212",2022-11-09 18:03:43
Alabaster,AL,35007,"345 South Colonial Dr, Alabaster, AL 35007",2022-11-09 18:03:43
Trussville,AL,35173,"4710 Norrell Drive, Trussville, AL 35173",2022-11-09 18:03:43
Birmingham,AL,35243,"225 Summit Blvd Ste. 100, Birmingham, AL 35243",2022-11-09 18:03:43
Anniston,AL,36206,"5624 Mcclellan Boulevard, Anniston, AL 36206",2022-11-09 18:03:43
Rainbow City,AL,35906,"2905 Rainbow Drive, Rainbow City, AL 35906",2022-11-09 18:03:43
1551 Forestdale Blvd,AL,35214,"1551 Forestdale Blvd, AL 35214",2022-11-09 18:03:43
Birmingham,AL,35235,"1146 Brewster Road, Birmingham, AL 35235",2022-11-09 18:03:43
Birmingham,AL,35233,"420 Richard Arrington Junior Boulevard South, Birmingham, AL 35233",2022-11-09 18:03:43
Trusville,AL,35173,"5800 Valley Rd, Suite 110, Trusville, AL 35173",2022-11-09 18:03:43
Hoover,AL,35216,"3117 Lorna Rd, Hoover, AL 35216",2022-11-09 18:03:43
Bessemer,AL,35023,"821 Allison Bonnett Memorial Dr, Bessemer, AL 35023",2022-11-09 18:03:43
Birmingham,AL,35217,"1521 Pinson Valley Parkway, Birmingham, AL 35217",2022-11-09 18:03:43
Bessemer,AL,35023,"2880 Allison-Bonnett Memorial Dr., Bessemer, AL 35023",2022-11-09 18:03:43
1141 Forestdale Boulevard,AL,35214,"1141 Forestdale Boulevard, AL 35214",2022-11-09 18:03:43
Birmingham,AL,35235,"5029 Pinnacale Square, Birmingham, AL 35235",2022-11-09 18:03:43
Birmingham,AL,35173,"1660 Gadsden Hwy, Birmingham, AL 35173",2022-11-09 18:03:43
Birmingham,AL,35203,"314 17th St N, Birmingham, AL 35203",2022-11-09 18:03:43
